tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
174,1/1/2018 13:00,1/1/2018 13:03,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,31743,Subscriber,1987,1
192,1/1/2018 13:14,1/1/2018 13:17,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29582,Subscriber,1987,1
318,1/1/2018 13:22,1/1/2018 13:27,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,31694,Subscriber,1955,1
394,1/1/2018 13:34,1/1/2018 13:41,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29597,Subscriber,1978,1
467,1/1/2018 13:43,1/1/2018 13:51,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,31762,Subscriber,1969,2
456,1/1/2018 13:43,1/1/2018 13:51,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,26190,Subscriber,1946,1
956,1/1/2018 13:51,1/1/2018 14:07,3189,West Side Light Rail,40.714402,-74.0887723,3195,Sip Ave,40.73074263,-74.06378388,26289,Subscriber,1962,1
353,1/1/2018 13:52,1/1/2018 13:57,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,31954,Subscriber,1988,1
383,1/1/2018 13:56,1/1/2018 14:02,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,31940,Subscriber,1988,1
448,1/1/2018 13:59,1/1/2018 14:06,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,31694,Subscriber,1983,1
429,1/1/2018 14:02,1/1/2018 14:09,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31709,Subscriber,1979,1
204,1/1/2018 14:09,1/1/2018 14:13,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,31711,Subscriber,1989,1
101,1/1/2018 14:11,1/1/2018 14:12,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,31925,Subscriber,1989,1
188,1/1/2018 14:20,1/1/2018 14:23,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31694,Subscriber,1983,1
